alpha, beta, latent_features, steps, C, NDCG
100000000.0, 1000000.0, 10, 100, 1, 0.062968551483635
100000000.0, 1000000.0, 10, 100, 0.1, 0.15232237157061412
100000000.0, 1000000.0, 10, 100, 0.01, 0.36460784017324543
100000000.0, 1000000.0, 10, 100, 0.001, 0.3267273323876386
100000000.0, 1000000.0, 10, 100, 0.0001, 0.3118868286480289
100000000.0, 1000000.0, 10, 100, 1e-05, 0.33501366037042074
100000000.0, 1000000.0, 10, 100, 1e-06, 0.36199306333680775
100000000.0, 1000000.0, 10, 100, 0, 0.3048703397877681
100000000.0, 1000000.0, 10, 150, 1000, 0.12937556025796054
100000000.0, 1000000.0, 10, 150, 100, nan
100000000.0, 1000000.0, 10, 150, 1, 0.048816292784578136
100000000.0, 1000000.0, 10, 150, 0.1, 0.17016302536957226
100000000.0, 1000000.0, 10, 150, 0.01, 0.34637550125765637
100000000.0, 1000000.0, 10, 150, 0.001, 0.3495802958771316
100000000.0, 1000000.0, 10, 150, 0.0001, 0.3274074480911752
100000000.0, 1000000.0, 10, 150, 1e-05, 0.3657466347394427
100000000.0, 1000000.0, 10, 150, 1e-06, 0.36122641081870605
100000000.0, 1000000.0, 10, 150, 0, 0.37177847325977653
100000000.0, 1000000.0, 10, 200, 1000, 0.13352590080963725
100000000.0, 1000000.0, 10, 200, 100, nan
100000000.0, 1000000.0, 10, 200, 1, 0.10865661036320322
100000000.0, 1000000.0, 10, 200, 0.1, 0.10819176391619267
100000000.0, 1000000.0, 10, 200, 0.01, 0.34856363450000927
100000000.0, 1000000.0, 10, 200, 0.001, 0.3367535404442931
100000000.0, 1000000.0, 10, 200, 0.0001, 0.36744487828203765
100000000.0, 1000000.0, 10, 200, 1e-05, 0.36672698580646323
100000000.0, 1000000.0, 10, 200, 1e-06, 0.38818503434971385
100000000.0, 1000000.0, 10, 200, 0, 0.37739025035398704
100000000.0, 1000000.0, 15, 1, 1000, 0.12279397541283968
100000000.0, 1000000.0, 15, 1, 100, 0.10452230894801423
100000000.0, 1000000.0, 15, 1, 1, 0.08831371764056051
100000000.0, 1000000.0, 15, 1, 0.1, 0.11730491903664741
100000000.0, 1000000.0, 15, 1, 0.01, 0.1720600259196637
100000000.0, 1000000.0, 15, 1, 0.001, 0.12959472987011583
100000000.0, 1000000.0, 15, 1, 0.0001, 0.13959135227221275
100000000.0, 1000000.0, 15, 1, 1e-05, 0.15724416013155967
100000000.0, 1000000.0, 15, 1, 1e-06, 0.09529979170102973
100000000.0, 1000000.0, 15, 1, 0, 0.12083761237021512
100000000.0, 1000000.0, 15, 50, 1000, nan
100000000.0, 1000000.0, 15, 50, 100, nan
100000000.0, 1000000.0, 15, 50, 1, 0.05637263026132814
100000000.0, 1000000.0, 15, 50, 0.1, 0.1362607062694444
100000000.0, 1000000.0, 15, 50, 0.01, 0.3219329177519769
100000000.0, 1000000.0, 15, 50, 0.001, 0.3509770191806587
